pnu	시군구	번지	주택유형	도로조건	연면적	대지면적	계약연월	계약일	거래금액만원	건축년도	도로명
4215034022	강원도 강릉시 강동면 모전리	3**	단독	12m미만	84.26	220	201602	28	5800	1985	단경로
4215034026	강원도 강릉시 강동면 하시동리	9**	단독	8m미만	190.46	397	201602	11	16000	2002	시동1길
4215011300	강원도 강릉시 강문동	1**	단독	8m미만	158.7	294	201602	24	26000	2009	창해로362번길
4215011000	강원도 강릉시 교동	1***	다가구	12m미만	345.2	214.1	201602	1	56000	2003	하슬라로206번길
4215011000	강원도 강릉시 교동	9**	단독	8m미만	68.42	116	201602	26	7900	1979	강릉대로121번길
4215011000	강원도 강릉시 교동	9**	단독	8m미만	121.52	132.2	201602	25	15500	1976	명주로78번길
4215011000	강원도 강릉시 교동	9**	단독	8m미만	87.62	133	201602	1	9800	1981	골말길
4215011000	강원도 강릉시 교동	8**	단독	8m미만	134.74	149.7	201602	15	8000	1978	강릉대로
4215011000	강원도 강릉시 교동	3**	단독	12m미만	189.46	161	201602	1	10000	1979	율곡로2988번길
4215011000	강원도 강릉시 교동	9**	단독	8m미만	101.65	186	201602	17	15000	1979	강릉대로121번길
4215011000	강원도 강릉시 교동	8**	단독	8m미만	136.03	214	201602	26	11700	1982	화부산로8번안길
4215011000	강원도 강릉시 교동	1***	단독	25m미만	383.18	226.6	201602	14	76000	2004	가작로
4215033024	강원도 강릉시 구정면 금광리	7**	단독	8m미만	50	642	201602	26	14964	1992	null
4215012100	강원도 강릉시 노암동	3**	단독	8m미만	59.59	112	201602	2	5500	1980	노암등길50번길
4215012100	강원도 강릉시 노암동	3**	단독	8m미만	76.86	126	201602	3	7300	1983	노암길46번길
4215012100	강원도 강릉시 노암동	6**	단독	8m미만	68.62	147	201602	2	6000	1978	노암길10번길
4215012100	강원도 강릉시 노암동	3**	단독	8m미만	49.7	165	201602	13	6900	1980	노가니길
4215012100	강원도 강릉시 노암동	3**	단독	12m미만	170.76	165	201602	29	22800	1982	노가니길
4215012100	강원도 강릉시 노암동	3**	단독	8m미만	189.43	197	201602	19	11000	1983	노암길42번길
4215013400	강원도 강릉시 대전동	1**	단독	12m미만	50.7	199	201602	1	7300	1993	동해대로3407번길
4215011900	강원도 강릉시 박월동	5**	단독	8m미만	59.3	228	201602	13	8450	1998	모산로224번길
4215036023	강원도 강릉시 사천면 석교리	1**	단독	8m미만	130.76	664	201602	26	25500	2012	돌다리길
4215031028	강원도 강릉시 성산면 오봉리	1**	단독	8m미만	60.24	701	201602	3	3000	1940	오봉서원길
4215010900	강원도 강릉시 옥천동	7*	단독	25m이상	21.82	99	201602	15	22500	1943	율곡로
