pnu	시군구	번지	도로조건	계약면적	전월세구분	계약연월	계약일	보증금	월세만원	건축년도	도로명
4215011000	강원도 강릉시 교동	9**	-	30	전세	201810	29	5000	0	2016	null
4215011000	강원도 강릉시 교동	9**	12m미만	30	전세	201810	29	5000	0	2016	원대로8번길
4215011000	강원도 강릉시 교동	7**	12m미만	42.9	월세	201810	30	300	43	2014	율곡로2953번길
4215011000	강원도 강릉시 교동	1**	25m미만	48	월세	201810	29	3000	5	1971	임영로
4215011000	강원도 강릉시 교동	1***	12m미만	59.94	전세	201810	27	6500	0	2005	하슬라로206번길
4215011000	강원도 강릉시 교동	1**	12m미만	75.04	전세	201810	12	8000	0	null	임영로198번길
4215011000	강원도 강릉시 교동	1***	12m미만	79	월세	201810	8	2000	52	2001	하슬라로232번길
4215011000	강원도 강릉시 교동	1***	12m미만	82	월세	201810	19	3000	60	null	하슬라로232번길
4215011000	강원도 강릉시 교동	1***	12m미만	102.75	월세	201810	25	2000	60	2003	하슬라로206번길
4215011000	강원도 강릉시 교동	8**	8m미만	140	전세	201810	22	3000	0	1979	강릉대로171번길
4215033025	강원도 강릉시 구정면 어단리	4**	8m미만	68.89	전세	201810	23	5000	0	1994	새말2길
4215010200	강원도 강릉시 남문동	1**	12m미만	26.4	월세	201810	27	300	30	2003	남문길
4215010200	강원도 강릉시 남문동	1**	12m미만	33	전세	201810	10	2000	0	2003	남문길
4215010200	강원도 강릉시 남문동	1**	12m미만	33	전세	201810	15	4000	0	1983	남문길
4215011600	강원도 강릉시 내곡동	3**	8m미만	94.94	월세	201810	22	1000	60	2018	남부로
4215012100	강원도 강릉시 노암동	2**	25m이상	30.66	월세	201810	5	500	35	1978	율곡로
4215012100	강원도 강릉시 노암동	1**	8m미만	42.97	전세	201810	2	2000	0	null	노가니남길19번길
4215012100	강원도 강릉시 노암동	6**	12m미만	66	월세	201810	13	1500	33	2008	임영로26번길
4215012100	강원도 강릉시 노암동	6**	8m미만	155.75	전세	201810	5	20000	0	1990	노암길10번길
4215012900	강원도 강릉시 병산동	3**	8m미만	50	월세	201810	18	800	20	1993	공항길30번길
4215036021	강원도 강릉시 사천면 미노리	1**	12m미만	179.15	전세	201810	6	5000	0	2001	본동길
4215010800	강원도 강릉시 성남동	5*	8m미만	25.36	전세	201810	12	4200	0	1932	중앙시장3길
4215010800	강원도 강릉시 성남동	1**	25m미만	33	월세	201810	8	2000	10	1981	금성로45번길
4215010800	강원도 강릉시 성남동	1**	25m미만	33	월세	201810	8	2000	10	1981	금성로45번길
4215010800	강원도 강릉시 성남동	1**	25m미만	33	전세	201810	8	3500	0	1981	금성로45번길
4215031024	강원도 강릉시 성산면 위촌리	*	-	22	전세	201810	11	3000	0	null	null
4215011400	강원도 강릉시 송정동	5*	8m미만	166.31	전세	201810	3	3000	0	1923	팔송길25번길
4215037022	강원도 강릉시 연곡면 영진리	4*	8m미만	42	전세	201810	27	3000	0	2012	홍질목길
4215035021	강원도 강릉시 옥계면 현내리	3**	25m미만	43.3	월세	201810	23	200	20	null	현내시장길
4215010900	강원도 강릉시 옥천동	1**	8m미만	19.8	월세	201810	30	700	10	2018	수문길19번옆길
4215010900	강원도 강릉시 옥천동	2**	25m미만	30	월세	201810	13	300	35	2017	옥천로
4215010900	강원도 강릉시 옥천동	1*	8m미만	33	월세	201810	13	1000	30	2016	옥천로20번길
4215010900	강원도 강릉시 옥천동	3**	8m미만	35.27	전세	201810	9	3500	0	1978	중기길
4215010900	강원도 강릉시 옥천동	3**	8m미만	48.3	전세	201810	3	5000	0	1993	중기길
4215013500	강원도 강릉시 운정동	3**	8m미만	92.56	전세	201810	1	2000	0	1925	운정길83번길
4215013100	강원도 강릉시 유천동	7**	12m미만	28	월세	201810	22	300	35	2015	선수촌로114번길
4215013100	강원도 강릉시 유천동	7**	12m미만	36	전세	201810	27	8000	0	2015	선수촌로114번길
4215013100	강원도 강릉시 유천동	7**	12m미만	89.83	월세	201810	26	2000	90	2017	선수촌로
4215010500	강원도 강릉시 임당동	1*	12m미만	24	전세	201810	19	5000	0	2013	강릉대로224번안길
4215010500	강원도 강릉시 임당동	1**	12m미만	26	전세	201810	9	5500	0	null	강릉대로194번길
4215010500	강원도 강릉시 임당동	9*	12m미만	39	월세	201810	28	1000	25	1954	강릉대로224번길
4215010500	강원도 강릉시 임당동	1**	25m미만	59.5	월세	201810	31	300	30	1982	임영로
4215012500	강원도 강릉시 입암동	4**	8m미만	31.22	전세	201810	31	6000	0	1985	청량학동길
4215012500	강원도 강릉시 입암동	4**	8m미만	31.22	전세	201810	31	6000	0	1985	청량학동길
4215012500	강원도 강릉시 입암동	6*	8m미만	33.61	월세	201810	9	300	20	1948	성덕포남로104번길
4215025022	강원도 강릉시 주문진읍 교항리	3**	8m미만	23.22	월세	201810	15	1500	28	null	교항원길
4215025022	강원도 강릉시 주문진읍 교항리	3**	8m미만	24.3	전세	201810	13	4000	0	2016	교항원길
4215025022	강원도 강릉시 주문진읍 교항리	3**	-	33	월세	201810	31	100	30	null	null
4215025022	강원도 강릉시 주문진읍 교항리	3**	8m미만	38	월세	201810	13	4000	28	2018	교항원길
4215025022	강원도 강릉시 주문진읍 교항리	6*	8m미만	73.33	월세	201810	1	3000	35	null	신리4길
4215025021	강원도 강릉시 주문진읍 주문리	3**	25m미만	100	전세	201810	1	4000	0	null	주문로
4215013200	강원도 강릉시 지변동	2**	-	72	전세	201810	24	6500	0	2003	null
4215011100	강원도 강릉시 포남동	1***	8m미만	32.34	월세	201810	3	300	35	2012	보래미하길79번길
4215011100	강원도 강릉시 포남동	1***	12m미만	47.67	전세	201810	11	6000	0	1988	산양큰길22번길
4215011100	강원도 강릉시 포남동	1***	-	55	전세	201810	5	5000	0	1995	null
4215011100	강원도 강릉시 포남동	9**	12m미만	60	월세	201810	15	500	35	1992	용지로104번길
4215010100	강원도 강릉시 홍제동	9*	8m미만	23.14	월세	201810	30	200	17	1954	경강로
4215010100	강원도 강릉시 홍제동	1***	12m미만	34.97	월세	201810	8	500	48	2016	선수촌로63번길
4215010100	강원도 강릉시 홍제동	1*	8m미만	44.62	전세	201810	20	3000	0	1973	임영로179번길
4215010100	강원도 강릉시 홍제동	*	8m미만	55.54	월세	201810	10	500	20	1974	임영로163번길
4215010100	강원도 강릉시 홍제동	2*	8m미만	81.02	월세	201810	5	2500	30	1980	골말길
4215010100	강원도 강릉시 홍제동	1**	8m미만	128	전세	201810	26	8000	0	1983	새냉이길27번길
4215011700	강원도 강릉시 회산동	3*	12m미만	30	전세	201810	16	4500	0	2015	관솔길
4282025025	강원도 고성군 간성읍 상리	1**	8m미만	26.4	월세	201810	1	500	40	2016	쇠롱골길
4282025321	강원도 고성군 거진읍 거진리	5**	8m미만	26.94	전세	201810	25	2000	0	1968	푸른고개길
4282025321	강원도 고성군 거진읍 거진리	3**	8m미만	46.87	전세	201810	10	1000	0	1982	거진길
4282032021	강원도 고성군 죽왕면 오호리	3**	25m이상	140	전세	201810	8	5500	0	1997	동해대로
4282033030	강원도 고성군 토성면 신평리	1**	8m미만	67.84	월세	201810	17	500	30	1995	신평1길
4282033023	강원도 고성군 토성면 아야진리	1**	8m미만	25.69	월세	201810	29	500	10	1953	아야진길
4282031023	강원도 고성군 현내면 초도리	2**	25m미만	60	전세	201810	28	3000	0	null	금강산로
4217011300	강원도 동해시 구미동	4**	8m미만	30.18	월세	201810	8	259	5	2016	구미3길
4217010800	강원도 동해시 나안동	1**	8m미만	26	월세	201810	27	300	35	2016	나안1길
4217012800	강원도 동해시 대진동	1**	25m미만	71.1	월세	201810	13	500	30	1999	대진1길
4217010700	강원도 동해시 동회동	2**	8m미만	33	전세	201810	10	3000	0	1996	신당1길
4217011100	강원도 동해시 발한동	2**	8m미만	26.45	월세	201810	26	100	14	null	관사2길
