pnu	시군구	번지	본번	부번	단지명	전용면적	계약연월	계약일	거래금액만원	층	건축년도	도로명
4215011500102020000	강원도 강릉시 견소동	202	0202	0000	송정한신	43.38	201602	1	8700	14	1997	경강로2539번길 8
4215011500102020000	강원도 강릉시 견소동	202	0202	0000	송정한신	84.945	201602	15	13500	9	1997	경강로2539번길 8
4215011500102020000	강원도 강릉시 견소동	202	0202	0000	송정한신	43.38	201602	27	8400	11	1997	경강로2539번길 8
4215011500102890000	강원도 강릉시 견소동	289	0289	0000	송정해변신도브래뉴아파트	59.99	201602	12	14900	7	2005	경강로2539번길 22
4215011500102890000	강원도 강릉시 견소동	289	0289	0000	송정해변신도브래뉴아파트	84.99	201602	15	20500	5	2005	경강로2539번길 22
4215011500102890000	강원도 강릉시 견소동	289	0289	0000	송정해변신도브래뉴아파트	59.99	201602	17	14150	14	2005	경강로2539번길 22
4215011500102890000	강원도 강릉시 견소동	289	0289	0000	송정해변신도브래뉴아파트	59.99	201602	24	14700	5	2005	경강로2539번길 23
4215011000119820000	강원도 강릉시 교동	1982	1982	0000	강릉교동롯데캐슬1단지	163.9852	201602	12	36500	6	2009	화부산로99번길 12
4215011000119820000	강원도 강릉시 교동	1982	1982	0000	강릉교동롯데캐슬1단지	135.1727	201602	15	35300	9	2009	화부산로99번길 12
4215011000119830000	강원도 강릉시 교동	1983	1983	0000	강릉교동롯데캐슬2단지	84.9855	201602	11	27000	15	2009	화부산로111번길 24
4215011000117500000	강원도 강릉시 교동	1750	1750	0000	교동1주공	59.89	201602	6	14800	5	1999	가작로 78
4215011000117500000	강원도 강릉시 교동	1750	1750	0000	교동1주공	59.89	201602	12	14500	8	1999	가작로 78
4215011000117500000	강원도 강릉시 교동	1750	1750	0000	교동1주공	59.89	201602	12	14000	3	1999	가작로 78
4215011000117500000	강원도 강릉시 교동	1750	1750	0000	교동1주공	84.84	201602	18	18750	6	1999	가작로 78
4215011000117500000	강원도 강릉시 교동	1750	1750	0000	교동1주공	59.89	201602	19	15700	13	1999	가작로 78
4215011000117500000	강원도 강릉시 교동	1750	1750	0000	교동1주공	84.84	201602	19	19650	10	1999	가작로 78
4215011000117500000	강원도 강릉시 교동	1750	1750	0000	교동1주공	59.89	201602	23	14700	12	1999	가작로 78
4215011000117670000	강원도 강릉시 교동	1767	1767	0000	교동2현대	84.97	201602	20	20300	4	1999	교동광장로 138-15
4215011000117670000	강원도 강릉시 교동	1767	1767	0000	교동2현대	99.88	201602	23	23000	2	1999	교동광장로 138-15
4215011000117660000	강원도 강릉시 교동	1766	1766	0000	교동3주공	59.74	201602	2	16200	8	2002	교동광장로 138-12
4215011000117660000	강원도 강릉시 교동	1766	1766	0000	교동3주공	59.79	201602	3	16500	12	2002	교동광장로 138-12
4215011000117660000	강원도 강릉시 교동	1766	1766	0000	교동3주공	59.74	201602	17	15950	5	2002	교동광장로 138-12
4215011000117660000	강원도 강릉시 교동	1766	1766	0000	교동3주공	59.74	201602	18	16080	15	2002	교동광장로 138-12
4215011000117660000	강원도 강릉시 교동	1766	1766	0000	교동3주공	59.74	201602	20	16600	10	2002	교동광장로 138-12
4215011000117660000	강원도 강릉시 교동	1766	1766	0000	교동3주공	59.84	201602	22	15850	4	2002	교동광장로 138-12
4215011000117660000	강원도 강릉시 교동	1766	1766	0000	교동3주공	59.79	201602	24	15800	2	2002	교동광장로 138-12
4215011000100180016	강원도 강릉시 교동	18-16	0018	0016	교동대림	59.84	201602	13	10700	3	1997	수리골길17번길 21
4215011000103570000	강원도 강릉시 교동	357	0357	0000	교동이-편한세상	84.7155	201602	24	23400	11	2006	종합운동장길 92
4215011000103180004	강원도 강릉시 교동	318-4	0318	0004	매화임대	48.6	201602	29	5900	4	1987	율곡로2968번길 26
4215011000114290001	강원도 강릉시 교동	1429-1	1429	0001	민락	54.81	201602	1	7000	5	1985	하슬라로10번길 7
4215011000117620000	강원도 강릉시 교동	1762	1762	0000	부영5	84.93	201602	27	19800	6	2001	교동광장로 163
4215011000117750000	강원도 강릉시 교동	1775	1775	0000	부영6	84.9763	201602	13	19900	11	2003	정원로 53-9
4215011000117750000	강원도 강릉시 교동	1775	1775	0000	부영6	59.987	201602	22	15800	7	2003	정원로 53-9
4215011000117750000	강원도 강릉시 교동	1775	1775	0000	부영6	84.9763	201602	23	19500	6	2003	정원로 53-9
4215011000117750000	강원도 강릉시 교동	1775	1775	0000	부영6	84.9763	201602	26	19800	8	2003	정원로 53-9
4215011000103480006	강원도 강릉시 교동	348-6	0348	0006	서일2	27.75	201602	3	3600	2	1987	수리골길17번길 35
4215011000103130001	강원도 강릉시 교동	313-1	0313	0001	서일용궁맨션	70.65	201602	29	12500	9	1990	율곡로 2982-7
4215011000107800000	강원도 강릉시 교동	780	0780	0000	제일	80.95	201602	17	8700	1	1981	화부산로117번길 7
4215011000100460001	강원도 강릉시 교동	46-1	0046	0001	한신	59.84	201602	4	11000	5	1997	명륜로 95-7
4215011000100460001	강원도 강릉시 교동	46-1	0046	0001	한신	84.98	201602	25	13900	3	1997	명륜로 95-7
4215011000117590000	강원도 강릉시 교동	1759	1759	0000	현대하이빌	99.96	201602	3	24900	15	1999	원대로128번길 14
4215010200100010002	강원도 강릉시 남문동	1-2	0001	0002	명정그린빌라	135.99	201602	29	15600	2	1995	경강로2024번길 28
4215011600106160000	강원도 강릉시 내곡동	616	0616	0000	강부2	24.795	201602	17	2900	5	1988	관대길 63
4215011600106160000	강원도 강릉시 내곡동	616	0616	0000	강부2	24.795	201602	24	3190	2	1988	관대길 63
4215011600101270000	강원도 강릉시 내곡동	127	0127	0000	남산삼익	58.74	201602	20	7850	4	1993	남부로125번길 37
4215011600101270000	강원도 강릉시 내곡동	127	0127	0000	남산삼익	58.74	201602	23	8200	3	1993	남부로125번길 37
4215011600101270000	강원도 강릉시 내곡동	127	0127	0000	남산삼익	84.48	201602	25	13400	8	1993	남부로125번길 37
4215011600104690000	강원도 강릉시 내곡동	469	0469	0000	내곡동현대	84.99	201602	11	14500	18	1998	범일로 645
4215011600104690000	강원도 강릉시 내곡동	469	0469	0000	내곡동현대	84.99	201602	20	15700	8	1998	범일로 645
4215011600106230000	강원도 강릉시 내곡동	623	0623	0000	내곡주공	39.69	201602	15	5200	5	1989	관대길16번길 6
4215011600106230000	강원도 강릉시 내곡동	623	0623	0000	내곡주공	39.3	201602	16	5750	2	1989	관대길16번길 6
4215011600106230000	강원도 강릉시 내곡동	623	0623	0000	내곡주공	39.69	201602	28	5750	3	1989	관대길16번길 6
4215011600104760000	강원도 강릉시 내곡동	476	0476	0000	내곡한라	59.97	201602	1	12000	15	1997	강변로 114
4215011600104760000	강원도 강릉시 내곡동	476	0476	0000	내곡한라	84.95	201602	1	16500	10	1997	강변로 114
4215011600104760000	강원도 강릉시 내곡동	476	0476	0000	내곡한라	59.97	201602	2	12500	17	1997	강변로 114
4215011600104760000	강원도 강릉시 내곡동	476	0476	0000	내곡한라	59.97	201602	5	12050	10	1997	강변로 114
4215011600104760000	강원도 강릉시 내곡동	476	0476	0000	내곡한라	59.97	201602	11	12550	12	1997	강변로 114
4215011600104760000	강원도 강릉시 내곡동	476	0476	0000	내곡한라	59.97	201602	15	12700	15	1997	강변로 114
4215011600104760000	강원도 강릉시 내곡동	476	0476	0000	내곡한라	84.95	201602	22	16600	7	1997	강변로 114
4215011600104760000	강원도 강릉시 내곡동	476	0476	0000	내곡한라	59.97	201602	22	12180	11	1997	강변로 114
4215011600101360000	강원도 강릉시 내곡동	136	0136	0000	삼익타워맨션	116.08	201602	3	12900	6	1993	남산초교길 65
4215011600107560000	강원도 강릉시 내곡동	756	0756	0000	석미모닝파크	84.3	201602	29	15900	3	2008	남산초교길11번길 12-5
4215012100106180001	강원도 강릉시 노암동	618-1	0618	0001	고합	41.58	201602	23	5900	10	1996	남부로125번길 23
4215012100108350000	강원도 강릉시 노암동	835	0835	0000	노암2주공	59.3	201602	4	5800	3	1984	노가니남길 25
4215012100108350000	강원도 강릉시 노암동	835	0835	0000	노암2주공	59.3	201602	27	5400	5	1984	노가니남길 25
4215012100106050000	강원도 강릉시 노암동	605	0605	0000	노암3한라	39.762	201602	5	7600	3	2000	남부로125번길 7
4215012100106050000	강원도 강릉시 노암동	605	0605	0000	노암3한라	59.994	201602	27	12900	5	2000	남부로125번길 7
4215012100106050000	강원도 강릉시 노암동	605	0605	0000	노암3한라	59.994	201602	27	12200	6	2000	남부로125번길 7
4215012100106100000	강원도 강릉시 노암동	610	0610	0000	노암남산현대	84.99	201602	18	15100	11	1998	남부로125번길 11
4215012100103900000	강원도 강릉시 노암동	390	0390	0000	노암한라	84.99	201602	20	11700	3	1994	노암길42번길 24
4215012100103900000	강원도 강릉시 노암동	390	0390	0000	노암한라	59.976	201602	27	9800	10	1994	노암길42번길 24
4215012100106270002	강원도 강릉시 노암동	627-2	0627	0002	대림임대	48.32	201602	29	5250	5	1989	임영로25번길 13
4215012100103970000	강원도 강릉시 노암동	397	0397	0000	서일	31.08	201602	22	3670	5	1988	노암길42번길 20
4215012100108440000	강원도 강릉시 노암동	844	0844	0000	양우내안애	114.6085	201602	19	22750	7	2009	강변로 328-8
4215012100103850000	강원도 강릉시 노암동	385	0385	0000	한라2	55.483	201602	15	9300	8	1995	남부로191번길 21
4215012100102450005	강원도 강릉시 노암동	245-5	0245	0005	현대	84.945	201602	2	12900	3	1992	율곡로 2733
4215012100102450005	강원도 강릉시 노암동	245-5	0245	0005	현대	84.945	201602	27	12500	2	1992	율곡로 2733
4215012100102450005	강원도 강릉시 노암동	245-5	0245	0005	현대	84.945	201602	29	12000	7	1992	율곡로 2733
4215011400110610000	강원도 강릉시 송정동	1061	1061	0000	경포대신도브래뉴로얄카운티	155.837	201602	11	41000	11	2007	해안로 93-8
4215011400110610000	강원도 강릉시 송정동	1061	1061	0000	경포대신도브래뉴로얄카운티	155.837	201602	20	28000	2	2007	해안로 93-8
4215011400109400023	강원도 강릉시 송정동	940-23	0940	0023	대림맨션	77.99	201602	1	11500	10	1991	남강초교2길 44
4215011400109400023	강원도 강릉시 송정동	940-23	0940	0023	대림맨션	84.99	201602	10	12500	5	1991	남강초교2길 44
4215011400109400023	강원도 강릉시 송정동	940-23	0940	0023	대림맨션	77.99	201602	13	9700	2	1991	남강초교2길 44
4215011400101100005	강원도 강릉시 송정동	110-5	0110	0005	비치소라	54.03	201602	29	4300	2	1987	팔송길 26
4215011400100390010	강원도 강릉시 송정동	39-10	0039	0010	삼익비치맨션	84.544	201602	5	12300	5	1992	해안로 107
4215011400100390010	강원도 강릉시 송정동	39-10	0039	0010	삼익비치맨션	84.544	201602	19	11850	5	1992	해안로 107
4215037022103360001	강원도 강릉시 연곡면 영진리	336-1	0336	0001	근화	59.36	201602	3	7700	2	1997	영진2길 12-3
4215037022103050002	강원도 강릉시 연곡면 영진리	305-2	0305	0002	삼우그린	30.24	201602	4	4750	11	1999	연주로 132
4215037022103050002	강원도 강릉시 연곡면 영진리	305-2	0305	0002	삼우그린	30.24	201602	22	4550	6	1999	연주로 132
4215037022103800000	강원도 강릉시 연곡면 영진리	380	0380	0000	영진부영3	84.9157	201602	13	21500	9	2008	영진3길 15
4215012500107110000	강원도 강릉시 입암동	711	0711	0000	강릉더샵	84.94	201602	24	24800	8	2014	입암로29번길 11
4215012500103210000	강원도 강릉시 입암동	321	0321	0000	강릉입암동금호어울림	84.96	201602	2	22800	14	2007	성덕로 328-15
4215012500103210000	강원도 강릉시 입암동	321	0321	0000	강릉입암동금호어울림	157.22	201602	11	25500	7	2007	성덕로 328-15
4215012500103210000	강원도 강릉시 입암동	321	0321	0000	강릉입암동금호어울림	84.77	201602	12	22250	4	2007	성덕로 328-15
