pnu	시군구	번지	본번	부번	건물명	전용면적	대지권면적	계약연월	계약일	거래금액(만원)	층	건축년도	도로명
4215011000103030001	강원도 강릉시 교동	303-1	0303	0001	이화	56.79	158.31	201909	10	7600	1	1984	율곡로2968번안길 2
4215011000108280001	강원도 강릉시 교동	828-1	0828	0001	풍원국민주택	58.675	64.48	201909	18	7500	1	1985	화부산로 93
4215012100103370000	강원도 강릉시 노암동	337	0337	0000	개나리	50.46	62.55	201909	15	4300	3	1983	노암길41번길 14
4215011400102160001	강원도 강릉시 송정동	216-1	0216	0001	소라A단지	56.34	111.69	201909	9	6500	3	1986	송정길 15
4215037021100290001	강원도 강릉시 연곡면 방내리	29-1	0029	0001	창희주택	71.85	61.67	201909	19	5600	3	1991	진고개로 2739-5
4215035021104290001	강원도 강릉시 옥계면 현내리	429-1	0429	0001	동화	47.79	80.33	201909	10	3800	2	1985	옥계로 1050
4215012500104980006	강원도 강릉시 입암동	498-6	0498	0006	대목임대	31.15	44.3	201909	20	3800	3	1987	용지로 43
4215025022103980013	강원도 강릉시 주문진읍 교항리	398-13	0398	0013	동신빌라	59.91	61.87	201909	8	7800	3	1993	신리대동길 31-8
4215011100110050011	강원도 강릉시 포남동	1005-11	1005	0011	초원	56.76	53.74	201909	16	6800	1	1984	경강로2234번길 14
4215010100106490004	강원도 강릉시 홍제동	649-4	0649	0004	로얄테라스	83.3072	228.79	201909	10	30000	1	2019	사임당로 119-1
4215010100100620007	강원도 강릉시 홍제동	62-7	0062	0007	무궁화	74.98	59.4	201909	17	3800	2	1982	토성로 87
4217010700100470001	강원도 동해시 동회동	47-1	0047	0001	이레타운	46.24	41.58	201909	18	9700	5	2015	효자남1길 20
4217011100105870003	강원도 동해시 발한동	587-3	0587	0003	삼양빌라AB	66.28	60.22	201909	26	4000	2	1993	송이고개길 8-1
4217011100101180001	강원도 동해시 발한동	118-1	0118	0001	성남AB	75.33	70.27	201909	27	3800	4	1985	향로복개로 7-9
4217010100109950021	강원도 동해시 천곡동	995-21	0995	0021	(995-21)	51.94	45.05	201909	10	4000	2	1993	감추7길 7
4217010100110340005	강원도 동해시 천곡동	1034-5	1034	0005	광명원룸빌라	55.125	31.75	201909	23	3950	3	1999	동굴1길 12-2
4217010100109730009	강원도 동해시 천곡동	973-9	0973	0009	남선빌라2차	68.24	35.5	201909	4	4500	3	1993	감추2길 36-1
4217010100109980001	강원도 동해시 천곡동	998-1	0998	0001	범진빌라1차	68.26	34.13	201909	6	4700	3	1992	충혼길 17
4217010100110350010	강원도 동해시 천곡동	1035-10	1035	0010	영동주택A	28.89	15.23	201909	16	2300	4	1991	동굴3길 7-2
4217010100110540007	강원도 동해시 천곡동	1054-7	1054	0007	우일연립	46.15	25.35	201909	24	4000	4	1996	샘실2길 36
4223012000103450000	강원도 삼척시 남양동	345	0345	0000	(345-0)	42.7	35	201909	27	3200	2	1988	남양길 41-30
4223012000103360007	강원도 삼척시 남양동	336-7	0336	0007	남양(가,나동)	59.13	106.75	201909	19	6500	1	1983	남양길 13-112
4223011000100270004	강원도 삼척시 마달동	27-4	0027	0004	학사원룸	35.05	19.41	201909	16	1800	2	2002	마달길 103-16
4223012500102810000	강원도 삼척시 정상동	281	0281	0000	봉황빌라	84.88	51	201909	24	4000	4	1995	영진서길 31
4223012500104550000	강원도 삼척시 정상동	455	0455	0000	영진(가,나)	51.09	62.6	201909	5	1600	2	1987	동해대로 4025-10
4221010600107770021	강원도 속초시 교동	777-21	0777	0021	동설악빌라1동	49.16	26.5	201909	11	5700	1	1991	교동로6길 47
4221010600107770022	강원도 속초시 교동	777-22	0777	0022	동설악빌라2동	63.18	38.56	201909	23	5700	1	1991	교동로6길 47
4221011200103480002	강원도 속초시 설악동	348-2	0348	0002	현대설악빌리지	60.11	194.77	201909	2	3500	3	1988	청봉로1길 21
4221010800114310001	강원도 속초시 조양동	1431-1	1431	0001	설악비치하우스	29.76	23.32	201909	21	7300	2	1987	해오름로 202
4221010800114310001	강원도 속초시 조양동	1431-1	1431	0001	설악비치하우스	36.46	54.19	201909	23	8600	3	1987	해오름로 202
4280025021101040003	강원도 양구군 양구읍 상리	104-3	0104	0003	교보	39.92	63.43	201909	6	3600	4	1997	중심로 126-9
4280025021104410007	강원도 양구군 양구읍 상리	441-7	0441	0007	리버파크빌(2차)	45.75	34.77	201909	18	9500	3	2017	박수근로365번길 20-9
4280025021104410007	강원도 양구군 양구읍 상리	441-7	0441	0007	리버파크빌(2차)	45.75	34.77	201909	20	9500	4	2017	박수근로365번길 20-9
4280025021103820002	강원도 양구군 양구읍 상리	382-2	0382	0002	신태양	108.54	85.06	201909	23	13200	3	1993	비봉로 23
4283025022100640007	강원도 양양군 양양읍 구교리	64-7	0064	0007	그린아트	60.48	47.72	201909	25	4750	3	1995	북문길 20-6
4283025021102500005	강원도 양양군 양양읍 남문리	250-5	0250	0005	현대	54.6	50.19	201909	27	5600	1	1984	남서길 13
