pnu	시군구	번지	본번	부번	건물명	전월세구분	전용면적	계약연월	계약일	보증금만원	월세만원	층	건축년도	도로명
4215011000103150027	강원도 강릉시 교동	315-27	0315	0027	교동	월세	59.1	201511	26	3000	25	3	1983	율곡로2988번길 8-2
4215011600102670000	강원도 강릉시 내곡동	267	0267	0000	기산그린타운	월세	30.59	201511	14	300	20	4	1997	범일로 528
4215010900102230000	강원도 강릉시 옥천동	223	0223	0000	동부시장주택	전세	59.5	201511	2	3800	0	3	1977	옥천로 48
4215010900102230000	강원도 강릉시 옥천동	223	0223	0000	동부시장주택	전세	73.42	201511	9	6000	0	4	1977	옥천로 48
4215010100101200006	강원도 강릉시 홍제동	120-6	0120	0006	태양열	전세	67.57	201511	30	4000	0	2	1981	새냉이길27번길 10
4217011100101180001	강원도 동해시 발한동	118-1	0118	0001	성남AB	월세	75.33	201511	12	1000	25	4	1985	향로복개로 7-9
4217010100109990018	강원도 동해시 천곡동	999-18	0999	0018	일정상아빌라	전세	61	201511	26	3600	0	null	1992	충혼길 19-9
4217010100109410000	강원도 동해시 천곡동	941	0941	0000	중앙빌라트	월세	49.33	201511	22	500	35	3	2002	동굴로 147
4217010100111000000	강원도 동해시 천곡동	1100	1100	0000	한움빌리지	전세	123.4568	201511	18	8000	0	1	2003	천곡1길 58
4223012500102810000	강원도 삼척시 정상동	281	0281	0000	봉황빌라	전세	84.88	201511	9	5000	0	1	1995	영진서길 31
4221010600107770022	강원도 속초시 교동	777-22	0777	0022	동설악빌라2동	전세	63.18	201511	11	4800	0	2	1991	교동로6길 47
4221010400106250042	강원도 속초시 금호동	625-42	0625	0042	금호	월세	52	201511	16	500	25	2	1982	번영로67번길 19
4221010800114310001	강원도 속초시 조양동	1431-1	1431	0001	설악비치하우스	전세	32.01	201511	18	1500	0	3	1987	해오름로 202
4221010800105900001	강원도 속초시 조양동	590-1	0590	0001	설악빌리지	전세	72.78	201511	24	4650	0	1	1990	청대마을길 5
4221010800106330008	강원도 속초시 조양동	633-8	0633	0008	오복주택	전세	54.54	201511	14	5000	0	2	1986	동해대로 4176-1
4283025035102320006	강원도 양양군 양양읍 서문리	232-6	0232	0006	예림빌리지	월세	80.64	201511	13	1500	45	4	2012	양양로 144-1
4275025021110330101	강원도 영월군 영월읍 영흥리	1033-101	1033	0101	다우빌라(A동)	전세	76.68	201511	25	3000	0	4	1992	영모전길83번길 33-10
4213010500105470000	강원도 원주시 개운동	547	0547	0000	예가하이빌	월세	59.24	201511	6	1500	55	3	2015	개운4길 74
4213010500105410000	강원도 원주시 개운동	541	0541	0000	예가하이빌	월세	59.22	201511	26	1500	55	3	2015	개운4길 78
4213031023112930000	강원도 원주시 소초면 장양리	1293	1293	0000	우창	전세	48.22	201511	21	2600	0	3	1993	장막1길 64
4213031023110030001	강원도 원주시 소초면 장양리	1003-1	1003	0001	진솔빌라	월세	76.14	201511	4	3000	5	2	2004	섬배로 17-6
4213010800102300022	강원도 원주시 일산동	230-22	0230	0022	(230-22)	월세	44.91	201511	9	1000	52	5	2014	일산초교길 77
4213010800101540045	강원도 원주시 일산동	154-45	0154	0045	초원의집	전세	128.98	201511	7	8500	0	3	2007	일산로36번길 36
4277025321102130021	강원도 정선군 고한읍 고한리	산213-21	0213	0021	못골	월세	40.7	201511	10	500	10	2	1980	 
4278025921108380064	강원도 철원군 동송읍 이평리	838-64	0838	0064	미소가	전세	29.25	201511	5	4000	0	4	2014	금학로187번안길 15-5
4278025921108380012	강원도 철원군 동송읍 이평리	838-12	0838	0012	우리가	월세	21.29	201511	15	1000	35	4	2014	금학로187번안길 15-3
